id_documento,texto_extraido,categoria_calidad,razon_etiqueta,reason_etiqueta,categoria_cal_calidad
ANTIGRAVITY_051,"UNIVERSIDAD REGIONAL\nProyecto integrador\n\nTitulo: RAG local para servicios escolares\nEl obgetivo es construir un asistente offline que responda preguntas sobre reglamentos, becas y calendario academico usando PDFs institucionales.\nLa arquitectura contempla FastAPI como capa de orquestacion, Ollama con un LLM cuantizado, y Qdrant para busqueda vectorial. Se propone OCR para documentos escaneados, chunking con overlap, reranking y una capa de seguridad para evitar respuestas fuera de contexto. 1.\n\nSe evaluara con exactitud de cita, faithfulness, recall@5 y latencia p95. Tambien se plantea monitoreo con Prometheus y trazas en OpenTelemetry.\nLa interfaz web se hará en React con historial de consultas y feedback de usuario.\nEl documento menciona docker compose, CI/CD en GitHub Actions y pruebas con 40 preguntas reales.",Excelente,"Integra RAG local, FastAPI, LLM cuantizado y métricas de evaluación actuales con arquitectura sólida.",,
ANTIGRAVITY_052,"TESIS\n\nSistema de clasificacion de tickets de soporte con Transformer\nSe uso un encoder multilingüe preentrenado y fine tuning sobre incidencias de laboratorio, biblioteca y TI. El backend expone endpoints en FastAPI, y la persistencia se hace en PostgreSQL con un servicio Redis para colas async.\n\nLa propuesta incluye limpieza de texto, tokenizacion, validacion cruzada estratificada y reporte de F1 macro, precision por clase y matriz de confusion. 2. 3. 4. El despliegue se plantea con Docker y observabilidad basica.\n\nEl documento extraido tiene pequeñas fallas de OCR, pero se entiende que el sistema guardara el feedback del usuario para reentrenamiento periodico.",Excelente,"Usa Transformer, FastAPI y prácticas de evaluación y despliegue coherentes y actuales.",,
ANTIGRAVITY_053,"Proyecto final de ingenieria\n\nDeteccion de defectos visuales en placas electronicas\nSe plantea usar YOLOv8 y OpenCV para inspeccion en una linea de produccion. La camara captura imagenes en tiempo real y el modelo marca soldaduras frias, componentes faltantes y cortos visibles.\n\nLa solucion se exporta a ONNX para correr en una mini PC con GPU ligera. Se reportan metricas de precision, recall, mAP50 y FPS por segundo. Hay un modulo de alertas que manda eventos a un dashboard web con FastAPI.\n\nSe menciona un conjunto de datos etiquetado manualmente y augmentations de brillo, rotacion y blur. El texto presenta mayusculas mezcladas y un encabezado suelto en la mitad del parrafo.\n\nPagina 7 de 18.",Excelente,"Combina visión computacional moderna, YOLO y despliegue edge con métricas técnicas adecuadas.",,
ANTIGRAVITY_054,"PROYECTO INTEGRADOR\n\nAsistente academico local con LLM cuantizado\nEl sistema permite subir PDFs de reglamentos, rubricas y guias de titulacion. Se propone usar Ollama con un modelo cuantizado, LlamaIndex para el retrieval y Qdrant como base vectorial. El flujo contempla OCR, limpieza de texto, chunking semantico y reranking.\n\nLa interfaz web muestra respuestas con citas y un score de similitud. Se agregan guardrails para preguntas ambiguas y logs de conversaciones para analisis.\nLa evaluacion considera faithfulness, answer relevancy y tiempo de respuesta. El documento dice que el backend corre con FastAPI y que el despliegue sera reproducible con Docker Compose.\n\nAlgunas lineas estan cortadas por saltos raros de PDF y hay una nota repetida: \ver anexo 2\"".""",Excelente,"Presenta una implementación actual de RAG local con componentes, evaluación y despliegue bien definidos.",,
ANTIGRAVITY_055,"Trabajo recepcional\n\nPrediccion de desercion estudiantil con transformer y datos historicos\nSe propone entrenar un modelo secuencial con variables de asistencia, promedio, beca y actividad en LMS. El backend expone una API en FastAPI y los resultados se almacenan en PostgreSQL. Se agregan tareas en cola para reentrenamiento y un tablero con métricas.\n\nLa solución incluye balanceo de clases, normalizacion y validacion cruzada. Se reportara AUC, recall de la clase de riesgo y tiempo de inferencia. El texto habla de 2. 3. 4. módulos que quedan entrecortados por OCR, pero deja ver una arquitectura de microservicios ligera.\n\nSe contempla versionado de modelos y monitoreo de drift con alertas.",Excelente,"Es una propuesta sólida de ML aplicado con arquitectura moderna, métricas y MLOps.",,
ANTIGRAVITY_057,"TESIS\n\nControl de prestamos bibliotecarios\nAplicacion de escritorio en Java Swing con base de datos MariaDB. Permite registrar libros, socios, prestamos, devoluciones y sanciones.\n\nEl documento menciona validacion de formularios y reportes simples, pero no detalla arquitectura por capas ni pruebas automatizadas. La redaccion repite varias veces la palabra 'moderno' sin justificarlo. Hay una pagina insertada a mitad de un parrafo y un cuadro de texto con OCR defectuoso.\n\nSe observa un enfoque correcto, aunque muy basico para una tesis actual.",Regular,"Proyecto clásico y correcto, pero limitado en arquitectura, pruebas y profundidad.",,
ANTIGRAVITY_058,"Proyecto final\n\nApp movil para reservas de canchas deportivas\nSe usa Flutter para el frontend y Firebase para autenticacion, almacenamiento y notificaciones push. El sistema permite crear usuarios, reservar horarios y cancelar citas.\n\nEl texto dice que habra un panel de administracion, pero no describe API, seguridad ni pruebas de carga. Se incluyen frases sueltas como 'ver diagrama 4' y 'pagina 12' sin contexto.\nLa idea es clara, aunque el documento no profundiza en escalabilidad ni en analitica.\n\nEl pdf parece extraido con OCR y mezcla minúsculas y MAYUSCULAS.",Regular,"Solución válida pero sencilla, con poca documentación técnica y alcance moderado.",,
ANTIGRAVITY_059,"TRABAJO RECEPCIONAL\n\nSistema de asistencia para un laboratorio escolar\nSe implementa con Python, SQLite y una interfaz web sencilla. El alumno registra entradas, salidas y tardanzas; tambien genera un reporte semanal.\n\nEl texto carece de detalles sobre autenticacion, roles o seguridad de datos. Hay errores de ortografia como 'obgeto' y 'implemetacion'. Se repiten varias ideas en los mismos parrafos, y una nota de pagina aparece en medio: '3 de 9'.\n\nAunque cumple el objetivo minimo, la propuesta no muestra componentes avanzados ni evaluacion seria.",Regular,"Es un desarrollo funcional pero muy básico, con redacción vaga y poca profundidad.",,
ANTIGRAVITY_060,"Proyecto integrador\n\nGestor de citas para clinica veterinaria\nEl sistema fue hecho con Django, plantillas HTML y SQLite. Incluye registro de mascotas, recordatorios de vacunas y agenda de consultas.\n\nEl documento presenta flujos simples y un par de capturas de pantalla. No hay pruebas automatizadas, ni despliegue, ni analisis de rendimiento. Las frases estan cortadas por saltos raros y se observan mayusculas intercaladas en el mismo renglón.\n\nLa propuesta es útil, pero se queda en un prototipo clasico.",Regular,Es un sistema convencional con implementación simple y sin elementos modernos.,,
ANTIGRAVITY_061,"Proyecto final\n\nSistema web para control de inventario en un taller mecanico\nSe usa PHP y MySQL. Permite agregar refacciones, consultar stock y generar alertas cuando el nivel es bajo.\n\nLa documentacion es breve y el diagrama de base de datos se menciona, pero no se explica. Hay secciones repetidas y el texto parece extraido de un PDF con OCR defectuoso. 2. 3. 4.\nNo existe API, ni pruebas unitarias, ni separación por capas.\n\nEl alcance es util pero pobremente descrito.",Regular,"Es un sistema tradicional y utilitario, pero con baja calidad de documentación.",,
