id_documento,texto_extraido,categoria_calidad,razon_etiqueta,prediccion_ia
AG_NUEVO_0302,"NOMBRE DEL PROYECTO: Sistema IoT de Monitoreo de Calidad del Agua en Plantas Tratadoras. CATEGORÍA: Ciencias naturales / IoT. PROBLEMÁTICA: El vertido accidental de agua sin tratamiento adecuado daña el ecosistema acuático circundante. OBJETIVO GENERAL: Diseñar una red de monitoreo de pH, turbidez y oxígeno disuelto. STACK TECNOLÓGICO: ESP32, MQTT, InfluxDB, Grafana, Node.js.",Excelente,"Excelente planteamiento IoT, estructura de PI orientada a la sustentabilidad ecológica.",Excelente
AG_NUEVO_0204,"NOMBRE DEL PROYECTO: Sistema de Firma de Contratos Inmobiliarios Inteligentes en Blockchain. CATEGORÍA: Ciberseguridad. PROBLEMÁTICA: Fraude y alteración de firmas en contratos de arrendamiento físicos. OBJETIVO GENERAL: Desarrollar API para firmas digitales de contratos y registro inmutable en Ethereum. STACK TECNOLÓGICO: Solidity, Ethereum, React, Node.js, Web3.js.",Excelente,"Estructura excelente enfocada en ciberseguridad, blockchain e integridad de transacciones.",Excelente
AG_NUEVO_0910,"REPORTE DE ESTADÍA: Optimización de Almacén mediante Lectores de Códigos de Barras en Bodega Femsa. PROBLEMÁTICA: Errores en la entrega de refacciones debido a confusión de códigos visuales similares de marcas distintas. OBJETIVO GENERAL: Desarrollar módulo de escaneo móvil para confirmación de empaques. TECNOLOGÍAS: Android, Kotlin, ZXing, Spring Boot, MySQL.",Excelente,Reporte de estadía con claro beneficio operativo y stack móvil nativo.,Excelente
AG_NUEVO_0679,Chatbot de soporte escolar if-else en Python. Responde dudas sobre reinscripciones con reglas rígidas de condicionales en consola.,Regular,Lógica condicional dura simple en lugar de IA avanzada.,Regular
AG_NUEVO_0864,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en la red de Cinépolis. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_0828,Chatbot de preguntas frecuentes estudiantiles. Responde dudas básicas escolares mediante un script simple de Python con condicionales rígidos.,Regular,Lógica condicional elemental en lugar de procesamiento de lenguaje natural real.,Regular
AG_NUEVO_0269,"REPORTE DE ESTANCIA II: Migración de Sistema Monolítico a Microservicios en el Portal Logístico. PROBLEMÁTICA: El sistema de cobro colapsa en días festivos debido a la alta concurrencia de peticiones en un solo servidor central. OBJETIVO GENERAL: Modularizar los servicios de facturación y pagos en microservicios independientes. TECNOLOGÍAS: NestJS, Docker, Redis, Kafka, PostgreSQL.",Excelente,Estancia de alta complejidad arquitectónica y escalabilidad de backend corporativo.,Excelente
AG_NUEVO_002,"NOMBRE DEL PROYECTO: Sistema Descentralizado para la Gestión y Validación de Certificaciones Académicas. JUSTIFICACIÓN: La falsificación de documentos y diplomas profesionales es un problema creciente que daña la reputación institucional. ALCANCE: Firma digital y registro seguro de certificados universitarios en la blockchain pública de Ethereum, permitiendo la verificación instantánea por terceros sin intermediarios. STACK TECNOLÓGICO: Solidity, Smart Contracts, Ethereum, React.js, Web3.js, IPFS.",Excelente,"Formato alternativo de propuesta excelente, resolviendo una problemática real mediante blockchain y Web3.",Excelente
AG_NUEVO_0807,"REPORTE DE ESTANCIA: Reingeniería del Pipeline de Integración Continua en la Nube para Santander. INTRODUCCIÓN: La estadía se realizó en el área de infraestructura de TI. PROBLEMÁTICA: Los despliegues del core bancario requieren aprobaciones manuales de 3 coordinadores, tomando hasta 4 horas por sprint. OBJETIVO GENERAL: Implementar pipelines automatizados de despliegue a producción con Jenkins y Kubernetes. TECNOLOGÍAS: Jenkins, Docker, Kubernetes, AWS, SonarQube.",Excelente,Reporte de estancia empresarial de ciberseguridad y DevOps con alto impacto corporativo.,Excelente
AG_NUEVO_0777,Página web de portafolio para un fotógrafo local en HTML y CSS. Muestra la galería de fotos del fotógrafo y permite mandar un mensaje de contacto básico.,Regular,"Sitio web promocional estático de baja complejidad, sin backend.",Regular
AG_NUEVO_1074,Página de recomendaciones de películas favoritas con React. Haremos una web para mostrar las carteleras populares consumiendo una API de cine pública.,Regular,Alcance muy reducido que depende de APIs públicas y almacenamiento simple en el navegador.,Regular
AG_NUEVO_1071,Página web de agenda de citas de dentista local con React. Guarda la lista de pacientes en LocalStorage y no tiene base de datos persistente en el servidor.,Regular,Aplicación transaccional web de baja complejidad y sin backend.,Regular
AG_NUEVO_0966,"NOMBRE DEL PROYECTO: Sistema IoT de Mapeo de Radiación Solar para Planificación de Paneles. CATEGORÍA: IoT. PROBLEMÁTICA: Los paneles solares domésticos se instalan en zonas de sombra parcial debido a la falta de mediciones previas de irradiancia. OBJETIVO GENERAL: Crear un sensor autónomo solar que registre lecturas durante 30 días. STACK TECNOLÓGICO: ESP32, Sensores fotoeléctricos, MQTT, InfluxDB.",Excelente,Propuesta excelente enfocada a telemetría de radiación y energías alternativas.,Excelente
AG_NUEVO_021,"Página web para la panadería del centro de la ciudad. El objetivo es vender pan en línea de forma sencilla. El usuario entra, ve el pan disponible en el menú, lo agrega al carrito y envía su pedido. Vamos a programarlo usando HTML, CSS, JavaScript y PHP básico para enviar los correos de confirmación.",Regular,"Propuesta regular. Es viable y describe software, pero carece de rigor, arquitectura moderna u objetivos específicos.",Regular
AG_NUEVO_014,"NOMBRE DEL PROYECTO: Sistema Automatizado de Estacionamiento basado en Edge OCR. JUSTIFICACIÓN: Los sistemas de cobro con boletos físicos generan basura y largas colas de salida. ALCANCE: Leer placas vehiculares en la entrada y salida de forma automática y enviar el cobro de manera digital a la tarjeta del usuario. STACK TECNOLÓGICO: Python, OpenCV, EasyOCR, Node.js, MongoDB, React Native.",Excelente,Aplicación clara de OCR y visión artificial para la modernización de servicios urbanos.,Excelente
AG_NUEVO_0362,"REPORTE DE ESTANCIA: Reingeniería del Pipeline de Integración Continua en la Pasarela de Pago de Banamex. INTRODUCCIÓN: La estadía se realizó en el área de infraestructura de TI. PROBLEMÁTICA: Los despliegues del e-commerce requieren aprobaciones manuales de 3 coordinadores, tomando hasta 4 horas por sprint. OBJETIVO GENERAL: Implementar pipelines automatizados de despliegue a producción con Jenkins y Kubernetes. TECNOLOGÍAS: Jenkins, Docker, Kubernetes, AWS, SonarQube.",Excelente,Reporte de estancia empresarial de ciberseguridad y DevOps con alto impacto corporativo.,Excelente
AG_NUEVO_0205,"NOMBRE DEL PROYECTO: Algoritmo de Enrutamiento Óptimo de Ambulancias basado en Tránsito de Google Maps. CATEGORÍA: Logística / IA. PROBLEMÁTICA: Los retrasos en traslados de emergencias médicas por embotellamientos vehiculares. OBJETIVO GENERAL: Diseñar motor de ruteo en tiempo real usando algoritmo A* modificado. STACK TECNOLÓGICO: Python, Google Maps API, FastAPI, PostgreSQL.",Excelente,Estructura formal de Proyecto Integrador combinando algoritmia y servicios de geolocalización.,Excelente
AG_NUEVO_0973,Sistema de reservas de mesa en restaurante local. El cliente puede ver qué mesas están ocupadas y apartar una escribiendo sus datos. Django y SQLite.,Regular,CRUD transaccional básico sin alta concurrencia ni integraciones de pago.,Regular
AG_NUEVO_0856,"MEMORIA DE ESTADÍA: Integración de Módulo de Facturación CFDI 4.0 en la empresa Chedraui. INTRODUCCIÓN: Proyecto para adaptar los cobros comerciales a la normativa fiscal del SAT. PROBLEMÁTICA: El cálculo manual de retenciones causaba multas recurrentes de Hacienda. OBJETIVO: Automatizar la emisión de facturas XML timbradas por el PAC. TECNOLOGÍAS: C#, ASP.NET, SQL Server, PAC API.",Excelente,Estructura formal de estadía que atiende requerimientos fiscales reales de alta prioridad.,Excelente
AG_NUEVO_155,"NOMBRE DEL PROYECTO: Optimización del Ruteo de Autobuses Escolares mediante Algoritmos de Grafos. CATEGORÍA: Logística / IA. PROBLEMÁTICA: Las rutas mal diseñadas incrementan los tiempos de traslado de los alumnos en un 30%. OBJETIVO GENERAL: Diseñar un motor de rutas óptimas basado en el algoritmo de Dijkstra y restricciones de tráfico. STACK TECNOLÓGICO: Python, NetworkX, Google Maps API, FastAPI.",Excelente,Estructura formal de Proyecto Integrador combinando algoritmia y servicios de geolocalización.,Excelente
