id_documento,texto_extraido,categoria_calidad,razon_etiqueta,prediccion_ia,id_cluster,nombre_cluster
ANTIGRAVITY_001,"NOMBRE DEL PROYECTO: Sistema Inteligente de Monitoreo de Tráfico. CATEGORÍA: Smart Cities e IA. PROBLEMÁTICA: La congestión vehicular incrementa las emisiones de CO2 y el tiempo de traslado. OBJETIVOS: 1. Entrenar un modelo de YOLOv8 para contar vehículos. 2. Desplegar métricas en un dashboard web en tiempo real. JUSTIFICACIÓN: Permite a las autoridades tomar decisiones basadas en datos. USUARIOS: Secretarías de movilidad. FUNCIONALIDADES: Detección de autos, motos y camiones. TECNOLOGÍAS: Python, OpenCV, YOLOv8, React, Node.js. BIBLIOGRAFÍA: Redmon, J., et al. (2016). You Only Look Once.",Excelente,"Estructura completa, realista, uso correcto de jerga técnica y tecnologías coherentes para visión por computadora.",Excelente,7,Blockchain y Web3
ANTIGRAVITY_002,"Nombre: App de Tutorias. Categoria: movil. Problematica: los alumnos reprueban calculo. objetivos: hacer una app para que busquen asesores. Justificacion: ayudar a pasar materias. Usuarios: estudiantes. Funcionalidades: login, chat, agendar. Tecnologias: Flutter y Firebase.",Regular,"Tiene estructura básica y tecnologías válidas, pero la redacción es muy superficial y carece de rigor académico profundo.",Regular,5,Desarrollo Móvil Multiplataforma
ANTIGRAVITY_004,"public static void main(String[] args) { System.out.println(""Hola Mundo""); for(int i=0; i<10; i++){ count++; } } // TODO: Terminar el controlador de usuarios mañana",Ruido,Fragmento de código fuente en Java subido por accidente en lugar del documento del proyecto.,Regular,6,Analítica y Ciencia de Datos
ANTIGRAVITY_005,"NOMBRE DEL PROYECTO: Detección de Fraudes con Grafos. CATEGORÍA: Ciberseguridad e IA. PROBLEMÁTICA: Los sistemas tradicionales basados en reglas fallan al detectar fraudes financieros complejos. OBJETIVOS: Modelar transacciones como grafos y aplicar Graph Neural Networks (GNN). JUSTIFICACIÓN: Reduce falsos positivos en bloqueos de tarjetas. USUARIOS: Bancos. TECNOLOGÍAS: Neo4j, PyTorch Geometric, FastAPI. BIBLIOGRAFÍA: Kipf, T. N., & Welling, M. (2016). Semi-supervised classification with graph convolutional networks.",Excelente,"Uso avanzado de IA (GNN), coherencia en el problema de ciberseguridad y tecnologías precisas (Neo4j, PyTorch Geometric).",Excelente,7,Blockchain y Web3
ANTIGRAVITY_006,proyecto de punto d venta. vamos a aser un punto de venta en java con mysql para la ferreteria de mi tio. va a tener usuarios y contraseñas. ademas va a imprimir tikets.,Regular,"Redacción deficiente con faltas de ortografía ('aser', 'tikets', minúsculas), pero describe un proyecto de software funcional.",Regular,7,Blockchain y Web3
ANTIGRAVITY_007,"TITULO: API REST para E-commerce. PROBLEMÁTICA: Falta de integración entre frontend y base de datos. OBJETIVOS: Crear endpoints para productos, carrito y pagos. JUSTIFICACIÓN: Desacoplar la arquitectura mejora la escalabilidad. USUARIOS: Desarrolladores frontend. TECNOLOGÍAS: Express.js, MongoDB, JWT, Stripe.",Excelente,"Arquitectura clara, aborda un problema real de backend y enumera tecnologías estándar del mercado web.",Regular,5,Desarrollo Móvil Multiplataforma
ANTIGRAVITY_008,app para adoptar perritos. tecnologias kotlin y sqlite. justificacion: hay muchos perros en la calle.,Regular,"Extremadamente breve, aunque contiene tecnologías válidas, le faltan múltiples secciones de la plantilla.",Excelente,5,Desarrollo Móvil Multiplataforma
ANTIGRAVITY_011,"NOMBRE DEL PROYECTO: Clasificación de Residuos Sólidos con Edge Computing. CATEGORÍA: IoT e IA. PROBLEMÁTICA: Separación manual ineficiente de basura. OBJETIVOS: 1. Entrenar MobileNetV2. 2. Desplegar en Raspberry Pi. JUSTIFICACIÓN: Automatización en plantas de reciclaje. TECNOLOGÍAS: TensorFlow Lite, Raspberry Pi, Python. BIBLIOGRAFÍA: Howard, A. G., et al. (2017). MobileNets.",Excelente,Excelente integración de Hardware (Raspberry) y Software (TF Lite) abordando un problema ecológico válido.,Regular,7,Blockchain y Web3
ANTIGRAVITY_012,Titulo: sistema de biblioteca. se trata de prestar libros y q te avise si te pasas de la fecha. usar php y html.,Regular,"Proyecto escolar muy típico. Le falta justificación, objetivos estructurados y detalles técnicos.",Regular,2,RAG y Búsqueda Semántica
ANTIGRAVITY_014,"INGREDIENTES: 500g de harina, 2 huevos, 1 taza de leche, mantequilla. PREPARACIÓN: Mezclar todo en un bol hasta que quede suave. Hornear a 180 grados por 30 minutos.",Ruido,Receta de cocina mezclada entre los PDFs.,Regular,8,Automatización de Infraestructura
